System No,Solute,Solvent 1,Solvent 2,Xs_Exper,x1,x2,xs1p,xs2p,Temp
44.0,p-chlorobenzoic acid,dimethylformamide,water,0.47067,1.0,0.0,0.47067,9e-06,303.0
45.0,o-nitroaniline,dimethylformamide,water,0.00013,0.0,1.0,0.54325,0.00013,303.0
45.0,o-nitroaniline,dimethylformamide,water,0.54325,1.0,0.0,0.54325,0.00013,303.0
46.0,p-nitroaniline,dimethylformamide,water,0.00011,0.0,1.0,0.41214,0.00011,303.0
46.0,p-nitroaniline,dimethylformamide,water,0.41214,1.0,0.0,0.41214,0.00011,303.0
47.0,Methyl p-hydroxybenzoate,Propylene Glycol,Water,0.00030353913,0.0,1.0,0.0944202232,0.00030353913,300.0
47.0,Methyl p-hydroxybenzoate,Propylene Glycol,Water,0.0944202232,1.0,0.0,0.0944202232,0.00030353913,300.0
48.0,Methyl p-aminobenzoate,Propylene Glycol,Water,0.0001600538879,0.0,1.0,0.03206468533,0.0001600538879,300.0
48.0,Methyl p-aminobenzoate,Propylene Glycol,Water,0.03206468533,1.0,0.0,0.03206468533,0.0001600538879,300.0
49.0,Ethyl p-hydroxybenzoate,Propylene Glycol,Water,0.0001020548647,0.0,1.0,0.078081666,0.0001020548647,300.0
49.0,Ethyl p-hydroxybenzoate,Propylene Glycol,Water,0.078081666,1.0,0.0,0.078081666,0.0001020548647,300.0
50.0,Ethyl p-aminobenzoate,Propylene Glycol,Water,0.0001072873295,0.0,1.0,0.05669892658,0.0001072873295,300.0
50.0,Ethyl p-aminobenzoate,Propylene Glycol,Water,0.05669892658,1.0,0.0,0.05669892658,0.0001072873295,300.0
51.0,Propyl p-hydroxybenzoate,Propylene Glycol,Water,4.361977305e-05,0.0,1.0,0.0862935865,4.361977305e-05,300.0
51.0,Propyl p-hydroxybenzoate,Propylene Glycol,Water,0.0862935865,1.0,0.0,0.0862935865,4.361977305e-05,300.0
52.0,Propyl p-aminobenzoate,Propylene Glycol,Water,4.772763394e-05,0.0,1.0,0.08374322559,4.772763394e-05,300.0
52.0,Propyl p-aminobenzoate,Propylene Glycol,Water,0.08374322559,1.0,0.0,0.08374322559,4.772763394e-05,300.0
53.0,n-Butyl p-hydroxybenzoate,Propylene Glycol,Water,2.89482733e-05,0.0,1.0,0.1720448638,2.89482733e-05,300.0
53.0,n-Butyl p-hydroxybenzoate,Propylene Glycol,Water,0.1720448638,1.0,0.0,0.1720448638,2.89482733e-05,300.0
54.0,n-Butyl paminobenzoate,Propylene Glycol,Water,1.637098496e-05,0.0,1.0,0.08981529457,1.637098496e-05,300.0
54.0,n-Butyl paminobenzoate,Propylene Glycol,Water,0.08981529457,1.0,0.0,0.08981529457,1.637098496e-05,300.0
55.0,Paracetamol,Ethanol,Water,0.0019,0.0,1.0,0.0542,0.0019,298.0
55.0,Paracetamol,Ethanol,Water,0.0542,1.0,0.0,0.0542,0.0019,298.0
56.0,Paracetamol,Ethanol,Ethylacetate,0.0073,0.0,1.0,0.0542,0.0073,298.0
56.0,Paracetamol,Ethanol,Ethylacetate,0.0542,1.0,0.0,0.0542,0.0073,298.0
57.0,Acetaminophen,Ethanol,Propylene glycol,0.00603,0.0,1.0,0.0062,0.00603,303.0
57.0,Acetaminophen,Ethanol,Propylene glycol,0.0062,1.0,0.0,0.0062,0.00603,303.0
57.0,Acetaminophen,Ethanol,Propylene glycol,0.00483,0.0,1.0,0.005045,0.00483,293.0
57.0,Acetaminophen,Ethanol,Propylene glycol,0.005045,1.0,0.0,0.005045,0.00483,293.0
58.0,Acetaminophen,Propylene glycol,Water,0.00209,0.0,1.0,0.0603,0.00209,303.0
58.0,Acetaminophen,Propylene glycol,Water,0.0603,1.0,0.0,0.0603,0.00209,303.0
58.0,Acetaminophen,Propylene glycol,Water,0.00152,0.0,1.0,0.0486,0.00152,293.0
58.0,Acetaminophen,Propylene glycol,Water,0.0486,1.0,0.0,0.0486,0.00152,293.0
59.0,Sulfanilamide,Water,Ethanol,0.000644,0.0,1.0,0.007559,0.000644,298.0
59.0,Sulfanilamide,Water,Ethanol,0.007559,1.0,0.0,0.007559,0.000644,298.0
60.0,Sulfanilamide,Ethylacetate,Ethanol,0.000644,0.0,1.0,0.009058,0.000644,298.0
60.0,Sulfanilamide,Ethylacetate,Ethanol,0.009058,1.0,0.0,0.009058,0.000644,298.0
61.0,Sulfamethazine,Water,Ethanol,3.03e-06,0.0,1.0,0.000749,3.03e-06,298.0
61.0,Sulfamethazine,Water,Ethanol,0.000749,1.0,0.0,0.000749,3.03e-06,298.0
62.0,Sulfamethazine,Ethylacetate,Ethanol,3.03e-06,0.0,1.0,0.001364455269,3.03e-06,298.0
62.0,Sulfamethazine,Ethylacetate,Ethanol,0.001364455269,1.0,0.0,0.001364455269,3.03e-06,298.0
63.0,xinafoate,Dioxane,Water,0.003862,0.0,1.0,0.093621,0.003862,292.0
63.0,xinafoate,Dioxane,Water,0.093621,1.0,0.0,0.093621,0.003862,292.0
