System No,Solute,Solvent 1,Solvent 2,Xs_Exper,x1,x2,xs1p,xs2p,Temp
10.0,Benzil,Cyclohexane,n-Heptane,0.00874,0.5774,0.4226,0.01067,0.00659,298.0
10.0,Benzil,Cyclohexane,n-Heptane,0.00959,0.7763,0.2237,0.01067,0.00659,298.0
10.0,Benzil,Cyclohexane,n-Heptane,0.01001,0.8582,0.1418,0.01067,0.00659,298.0
10.0,Benzil,Cyclohexane,n-Heptane,0.01067,1.0,0.0,0.01067,0.00659,298.0
11.0,Benzil,Cyclooctane,Cyclohexane,0.01068,0.0,1.0,0.01454,0.01068,298.0
11.0,Benzil,Cyclooctane,Cyclohexane,0.01133,0.1434,0.8566,0.01454,0.01068,298.0
11.0,Benzil,Cyclooctane,Cyclohexane,0.01178,0.2452,0.7548,0.01454,0.01068,298.0
11.0,Benzil,Cyclooctane,Cyclohexane,0.01266,0.438,0.562,0.01454,0.01068,298.0
11.0,Benzil,Cyclooctane,Cyclohexane,0.01354,0.667,0.333,0.01454,0.01068,298.0
11.0,Benzil,Cyclooctane,Cyclohexane,0.01395,0.774,0.226,0.01454,0.01068,298.0
11.0,Benzil,Cyclooctane,Cyclohexane,0.01454,1.0,0.0,0.01454,0.01068,298.0
12.0,Benzil,CCl4,n-Octane,0.00726,0.0,1.0,0.08082,0.00726,298.0
12.0,Benzil,CCl4,n-Octane,0.01183,0.2871,0.7129,0.08082,0.00726,298.0
12.0,Benzil,CCl4,n-Octane,0.01535,0.4149,0.5851,0.08082,0.00726,298.0
12.0,Benzil,CCl4,n-Octane,0.02143,0.5642,0.4358,0.08082,0.00726,298.0
12.0,Benzil,CCl4,n-Octane,0.02512,0.625,0.375,0.08082,0.00726,298.0
12.0,Benzil,CCl4,n-Octane,0.03077,0.7003,0.2997,0.08082,0.00726,298.0
12.0,Benzil,CCl4,n-Octane,0.04299,0.8123,0.1877,0.08082,0.00726,298.0
12.0,Benzil,CCl4,n-Octane,0.05542,0.8919,0.1081,0.08082,0.00726,298.0
12.0,Benzil,CCl4,n-Octane,0.08082,1.0,0.0,0.08082,0.00726,298.0
13.0,Benzil,Cyclohexane,n-Octane,0.00726,0.0,1.0,0.01068,0.00726,298.0
13.0,Benzil,Cyclohexane,n-Octane,0.00798,0.2468,0.7532,0.01068,0.00726,298.0
13.0,Benzil,Cyclohexane,n-Octane,0.00837,0.3763,0.6237,0.01068,0.00726,298.0
13.0,Benzil,Cyclohexane,n-Octane,0.00911,0.5978,0.4022,0.01068,0.00726,298.0
13.0,Benzil,Cyclohexane,n-Octane,0.00988,0.7892,0.2108,0.01068,0.00726,298.0
13.0,Benzil,Cyclohexane,n-Octane,0.01019,0.8737,0.1263,0.01068,0.00726,298.0
13.0,Benzil,Cyclohexane,n-Octane,0.01068,1.0,0.0,0.01068,0.00726,298.0
14.0,Benzil,CCl4,Cyclooctane,0.01454,0.0,1.0,0.08082,0.01454,298.0
14.0,Benzil,CCl4,Cyclooctane,0.02115,0.2441,0.7559,0.08082,0.01454,298.0
