System no.,AMR,apol,Si,McG_Vol,VABC,MLFER_A,MLFER_BH,MLFER_S,MLFER_E,MW,TopoPSA,SolvAccSA
30,1.0678425906053515,0.7720771540689432,0.21603539260201338,0.4250179777384372,0.1162822861295567,-1.192511027148,-1.2958776364390714,-0.50420005800393,1.5275151308860853,-0.050375439435010765,0.0,392.6178257
31,1.0678425906053515,0.7720771540689432,0.21603539260201338,0.4250179777384372,0.1162822861295567,-1.192511027148,-1.2958776364390714,-0.50420005800393,1.5275151308860853,-0.050375439435010765,0.0,392.6178257
32,1.0678425906053515,0.7720771540689432,0.21603539260201338,0.4250179777384372,0.1162822861295567,-1.192511027148,-1.2958776364390714,-0.50420005800393,1.5275151308860853,-0.050375439435010765,0.0,392.6178257
33,1.0678425906053515,0.7720771540689432,0.21603539260201338,0.4250179777384372,0.1162822861295567,-1.192511027148,-1.2958776364390714,-0.50420005800393,1.5275151308860853,-0.050375439435010765,0.0,392.6178257
34,1.0678425906053515,0.7720771540689432,0.21603539260201338,0.4250179777384372,0.1162822861295567,-1.192511027148,-1.2958776364390714,-0.50420005800393,1.5275151308860853,-0.050375439435010765,0.0,392.6178257
35,1.0678425906053515,0.7720771540689432,0.21603539260201338,0.4250179777384372,0.1162822861295567,-1.192511027148,-1.2958776364390714,-0.50420005800393,1.5275151308860853,-0.050375439435010765,0.0,392.6178257
36,1.0678425906053515,0.7720771540689432,0.21603539260201338,0.4250179777384372,0.1162822861295567,-1.192511027148,-1.2958776364390714,-0.50420005800393,1.5275151308860853,-0.050375439435010765,0.0,392.6178257
37,1.0678425906053515,0.7720771540689432,0.21603539260201338,0.4250179777384372,0.1162822861295567,-1.192511027148,-1.2958776364390714,-0.50420005800393,1.5275151308860853,-0.050375439435010765,0.0,392.6178257
38,1.0678425906053515,0.7720771540689432,0.21603539260201338,0.4250179777384372,0.1162822861295567,-1.192511027148,-1.2958776364390714,-0.50420005800393,1.5275151308860853,-0.050375439435010765,0.0,392.6178257
39,-2.0567732185649836,-2.6193241455020835,-3.766316584064119,-2.5293347240262984,-2.780571952648504,-1.192511027148,-1.7882275157930088,-1.8109252165925285,-0.2694451288867637,1.7986797116949709,0.0,246.7017444
40,-2.0567732185649836,-2.6193241455020835,-3.766316584064119,-2.5293347240262984,-2.780571952648504,-1.192511027148,-1.7882275157930088,-1.8109252165925285,-0.2694451288867637,1.7986797116949709,0.0,246.7017444
